,Input,Final_Output
257,"Rodriguez, E.; Boelaars, K.; Brown, K.; Eveline Li, R.J.; Kruijssen, L.; Bruijns, S.C.M.; van Ee, T.; Schetters, S.T.T.; Crommentuijn, M.H.W.; van der Horst, J.C.; et al. Sialic acids in pancreatic cancer cells drive tumour-associated macrophage differentiation via the Siglec receptors Siglec-7 and Siglec-9. Nat. Commun. 2021, 12, 1270","{""author"": ""E. Rodriguez; K. Boelaars; K. Brown; R.J. Eveline Li; L. Kruijssen; S.C.M. Bruijns; T. van Ee; S.T.T. Schetters; M.H.W. Crommentuijn; J.C. van der Horst; et al."", ""journalName"": ""Nat. Commun."", ""year"": 2021}"
258,"Pilling, D.; Gomer, R.H. The Development of Serum Amyloid P as a Possible Therapeutic. Front. Immunol. 2018, 9, 2328.","{""author"": ""D. Pilling; R.H. Gomer"", ""journalName"": ""Front. Immunol."", ""year"": 2018}"
259,"Cox, N.; Pilling, D.; Gomer, R.H. DC-SIGN activation mediates the differential effects of SAP and CRP on the innate immune system and inhibits fibrosis in mice. Proc. Natl. Acad. Sci. USA 2015, 112, 8385–8390.","{""author"": ""N. Cox; D. Pilling; R.H. Gomer"", ""journalName"": ""Proc. Natl. Acad. Sci. USA"", ""year"": 2015}"
260,"Karlstetter, M.; Kopatz, J.; Aslanidis, A.; Shahraz, A.; Caramoy, A.; Linnartz-Gerlach, B.; Lin, Y.; Luckoff, A.; Fauser, S.; Duker, K.; et al. Polysialic acid blocks mononuclear phagocyte reactivity, inhibits complement activation, and protects from vascular damage in the retina. EMBO Mol. Med. 2017, 9, 154–166.","{""author"": ""M. Karlstetter; J. Kopatz; A. Aslanidis; A. Shahraz; A. Caramoy; B. Linnartz-Gerlach; Y. Lin; A. Luckoff; S. Fauser; K. Duker; et al."", ""journalName"": ""EMBO Mol. Med."", ""year"": 2017}"
261,"Liao, H.; Winkler, J.; Wissfeld, J.; Shahraz, A.; Klaus, C.; Neumann, H. Low molecular weight polysialic acid prevents lipopolysaccharide-induced inflammatory dopaminergic neurodegeneration in humanized SIGLEC11 transgenic mice. Glia 2021, 69, 2845–2862.","{""author"": ""H. Liao; J. Winkler; J. Wissfeld; A. Shahraz; C. Klaus; H. Neumann"", ""journalName"": ""Glia"", ""year"": 2021}"
262,"Shahraz, A.; Lin, Y.; Mbroh, J.; Winkler, J.; Liao, H.; Lackmann, M.; Bungartz, A.; Zipfel, P.F.; Skerka, C.; Neumann, H. Low molecular weight polysialic acid binds to properdin and reduces the activity of the alternative complement pathway. Sci. Rep. 2022, 12, 5818","{""author"": ""A. Shahraz; Y. Lin; J. Mbroh; J. Winkler; H. Liao; M. Lackmann; A. Bungartz; P.F. Zipfel; C. Skerka; H. Neumann"", ""journalName"": ""Sci. Rep."", ""year"": 2022}"
263,"Wang, S.K.; Cepko, C.L. Targeting Microglia to Treat Degenerative Eye Diseases. Front. Immunol. 2022, 13, 843558.","{""author"": ""S.K. Wang; C.L. Cepko"", ""journalName"": ""Front. Immunol."", ""year"": 2022}"
264,"Alves, I.; Fernandes, A.; Santos-Pereira, B.; Azevedo, C.M.; Pinho, S.S. Glycans as a key factor in self and nonself discrimination: Impact on the breach of immune tolerance. FEBS Lett. 2022, 596, 1485–1502","{""author"": ""I. Alves; A. Fernandes; B. Santos-Pereira; C.M. Azevedo; S.S. Pinho"", ""journalName"": ""FEBS Lett."", ""year"": 2022}"
265,"Liao, H.; Klaus, C.; Neumann, H. Control of Innate Immunity by Sialic Acids in the Nervous Tissue. Int. J. Mol. Sci. 2020, 21, 5494.","{""author"": ""H. Liao; C. Klaus; H. Neumann"", ""journalName"": ""Int. J. Mol. Sci."", ""year"": 2020}"
266,"Duarte Azevedo, M.; Sander, S.; Tenenbaum, L. GDNF, A Neuron-Derived Factor Upregulated in Glial Cells during Disease. J. Clin. Med. 2020, 9, 456.","{""author"": ""M. Duarte Azevedo; S. Sander; L. Tenenbaum"", ""journalName"": ""J. Clin. Med."", ""year"": 2020}"
267,"Hickman, S.; Izzy, S.; Sen, P.; Morsett, L.; El Khoury, J. Microglia in neurodegeneration. Nat. Neurosci. 2018, 21, 1359–1369.","{""author"": ""S. Hickman; S. Izzy; P. Sen; L. Morsett; J. El Khoury"", ""journalName"": ""Nat. Neurosci."", ""year"": 2018}"
268,"Dieckmann, B.W.; Paguaga, M.E.; McCollum, G.W.; Penn, J.S.; Uddin, I. Role of NLRP3 Inflammasomes in Monocyte and Microglial Recruitments in Choroidal Neovascularization; Research Square: Durham, NC, USA, 2023.","{""author"": ""B.W. Dieckmann; M.E. Paguaga; G.W. McCollum; J.S. Penn; I. Uddin"", ""journalName"": ""Research Square"", ""year"": 2023}"
269,"Yang, Y.; Liu, F.; Tang, M.; Yuan, M.; Hu, A.; Zhan, Z.; Li, Z.; Li, J.; Ding, X.; Lu, L. Macrophage polarization in experimental and clinical choroidal neovascularization. Sci. Rep. 2016, 6, 30933.","{""author"": ""Y. Yang; F. Liu; M. Tang; M. Yuan; A. Hu; Z. Zhan; Z. Li; J. Li; X. Ding; L. Lu"", ""journalName"": ""Sci. Rep."", ""year"": 2016}"
270,"Cruz-Pimentel, M.; Wu, L. Complement Inhibitors for Advanced Dry Age-Related Macular Degeneration (Geographic Atrophy): Some Light at the End of the Tunnel? J. Clin. Med. 2023, 12, 5131.","{""author"": ""M. Cruz-Pimentel; L. Wu"", ""journalName"": ""J. Clin. Med."", ""year"": 2023}"
271,"Bonilha, V.L.; Bell, B.A.; Hu, J.; Milliner, C.; Pauer, G.J.; Hagstrom, S.A.; Radu, R.A.; Hollyfield, J.G. Geographic Atrophy: Confocal Scanning Laser Ophthalmoscopy, Histology, and Inflammation in the Region of Expanding Lesions. Investig. Ophthalmol. Vis. Sci. 2020, 61, 15","{""author"": ""V.L. Bonilha; B.A. Bell; J. Hu; C. Milliner; G.J. Pauer; S.A. Hagstrom; R.A. Radu; J.G. Hollyfield"", ""journalName"": ""Investig. Ophthalmol. Vis. Sci."", ""year"": 2020}"
272,"Penfold, P.L.; Killingsworth, M.C.; Sarks, S.H. Senile macular degeneration. The involvement of giant cells in atrophy of the retinal pigment epithelium. Investig. Ophthalmol. Vis. Sci. 1986, 27, 364–371.","{""author"": ""P.L. Penfold; M.C. Killingsworth; S.H. Sarks"", ""journalName"": ""Investig. Ophthalmol. Vis. Sci."", ""year"": 1986}"
273,"Sarks, S.H. Ageing and degeneration in the macular region: A clinico-pathological study. Br. J. Ophthalmol. 1976, 60, 324–341.","{""author"": ""S.H. Sarks"", ""journalName"": ""Br. J. Ophthalmol."", ""year"": 1976}"
274,"Sarks, S.H. Drusen patterns predisposing to geographic atrophy of the retinal pigment epithelium. Aust. J. Ophthalmol. 1982, 10,","{""author"": ""S.H. Sarks"", ""journalName"": ""Aust. J. Ophthalmol."", ""year"": 1982}"
275,"Koncz, G.; Jenei, V.; Toth, M.; Varadi, E.; Kardos, B.; Bacsi, A.; Mazlo, A. Damage-mediated macrophage polarization in sterile inflammation. Front. Immunol. 2023, 14, 1169560.","{""author"": ""G. Koncz; V. Jenei; M. Toth; E. Varadi; B. Kardos; A. Bacsi; A. Mazlo"", ""journalName"": ""Front. Immunol."", ""year"": 2023}"
276,"Paolicelli,R.C.;Sierra,A.;Stevens,B.;Tremblay,M.E.;Aguzzi,A.;Ajami,B.;Amit,I.;udinat, E.; Bechmann, I.; Bennett, M.; et al. Microglia states and nomenclature:A field at its crossroads. Neuron 2022, 110, 3458–3483.","{""author"": ""R.C. Paolicelli; A. Sierra; B. Stevens; M.E. Tremblay; A. Aguzzi; B. Ajami; I. Amit; E. Audinat; I. Bechmann; M. Bennett; et al."", ""journalName"": ""Neuron"", ""year"": 2022}"
277,"Wang, Y.; Xiong, X.; Wang, K.; Bao, Y.; Zhang, T.; Ainiwaer, D.; Wang, G.; Li, H.; Sun, Z. Peripheral Klotho protects the kidney and brain by regulating M2a/M2c macrophage polarization in d-gal-treated aged mice. Tissue Cell 2023, 82, 102049.","{""author"": ""Y. Wang; X. Xiong; K. Wang; Y. Bao; T. Zhang; D. Ainiwaer; G. Wang; H. Li; Z. Sun"", ""journalName"": ""Tissue Cell"", ""year"": 2023}"
278,"Sapudom, J.; Karaman, S.; Mohamed, W.K.E.; Garcia-Sabate, A.; Quartey, B.C.; Teo, J.C.M. 3D in vitro M2 macrophage model to mimic modulation of tissue repair. NPJ Regen. Med. 2021, 6, 83","{""author"": ""J. Sapudom; S. Karaman; W.K.E. Mohamed; A. Garcia-Sabate; B.C. Quartey; J.C.M. Teo"", ""journalName"": ""NPJ Regen. Med."", ""year"": 2021}"
279,"Kigerl, K.A.; Gensel, J.C.; Ankeny, D.P.; Alexander, J.K.; Donnelly, D.J.; Popovich, P.G. Identification of two distinct macrophage subsets with divergent effects causing either neurotoxicity or regeneration in the injured mouse spinal cord. J. Neurosci. 2009, 29, 13435–13444.","{""author"": ""K.A. Kigerl; J.C. Gensel; D.P. Ankeny; J.K. Alexander; D.J. Donnelly; P.G. Popovich"", ""journalName"": ""J. Neurosci."", ""year"": 2009}"
280,"Kisucka, A.; Bimbova, K.; Bacova, M.; Galik, J.; Lukacova, N. Activation of Neuroprotective Microglia and Astrocytes at the Lesion Site and in the Adjacent Segments Is Crucial for Spontaneous Locomotor Recovery after Spinal Cord Injury. Cells 2021, 10, 1943.","{""author"": ""A. Kisucka; K. Bimbova; M. Bacova; J. Galik; N. Lukacova"", ""journalName"": ""Cells"", ""year"": 2021}"
281,"Goerdt, S.; Politz, O.; Schledzewski, K.; Birk, R.; Gratchev, A.; Guillot, P.; Hakiy, N.; Klemke, C.D.; Dippel, E.; Kodelja, V.; et al. Alternative versus classical activation of macrophages. Pathobiology 1999, 67, 222–226.","{""author"": ""S. Goerdt; O. Politz; K. Schledzewski; R. Birk; A. Gratchev; P. Guillot; N. Hakiy; C.D. Klemke; E. Dippel; V. Kodelja; et al."", ""journalName"": ""Pathobiology"", ""year"": 1999}"
282,"Colonna, M.; Butovsky, O. Microglia Function in the Central Nervous System During Health and Neurodegeneration. Annu. Rev. Immunol. 2017, 35, 441–468.","{""author"": ""M. Colonna; O. Butovsky"", ""journalName"": ""Annu. Rev. Immunol."", ""year"": 2017}"
283,"Devanney, N.A.; Stewart, A.N.; Gensel, J.C. Microglia and macrophage metabolism in CNS injury and disease: The role of immunometabolism neurodegeneration and neurotrauma. Exp. Neurol. 2020, 329, 113310.","{""author"": ""N.A. Devanney; A.N. Stewart; J.C. Gensel"", ""journalName"": ""Exp. Neurol."", ""year"": 2020}"
284,"Cao, X.; Shen, D.; Patel, M.M.; Tuo, J.; Johnson, T.M.; Olsen, T.W.; Chan, C.C. Macrophage polarization in the maculae of age related macular degeneration: A pilot study. Pathol. Int. 2011, 61, 528–535.","{""author"": ""X. Cao; D. Shen; M.M. Patel; J. Tuo; T.M. Johnson; T.W. Olsen; C.C. Chan"", ""journalName"": ""Pathol. Int."", ""year"": 2011}"
285,"Ferrante, C.J.; Pinhal-Enfield, G.; Elson, G.; Cronstein, B.N.; Hasko, G.; Outram, S.; Leibovich, S.J. The adenosine-dependent angiogenic switch of macrophages to an M2-like phenotype is independent of interleukin-4 receptor alpha (IL-4Ralpha) signaling. Inflammation 2013, 36, 921–931.","{""author"": ""C.J. Ferrante; G. Pinhal-Enfield; G. Elson; B.N. Cronstein; G. Hasko; S. Outram; S.J. Leibovich"", ""journalName"": ""Inflammation"", ""year"": 2013}"
286,"Emilsson, V.; Gudmundsson, E.F.; Jonmundsson, T.; Jonsson, B.G.; Twarog, M.; Gudmundsdottir, V.; Li, Z.; Finkel, N.; Poor, S.; Liu, X.; et al. A proteogenomic signature of age-related macular degeneration in blood. Nat. Commun. 2022, 13, 3401.","{""author"": ""V. Emilsson; E.F. Gudmundsson; T. Jonmundsson; B.G. Jonsson; M. Twarog; V. Gudmundsdottir; Z. Li; N. Finkel; S. Poor; X. Liu; et al."", ""journalName"": ""Nat. Commun."", ""year"": 2022}"
287,"Wang, Y.; Neumann, H. Alleviation of neurotoxicity by microglial human Siglec-11. J. Neurosci. 2010, 30, 3482–3488.","{""author"": ""Y. Wang; H. Neumann"", ""journalName"": ""J. Neurosci."", ""year"": 2010}"
288,"Rajesh, C.; Radhakrishnan, P. The (Sialyl) Tn antigen: Contributions to immunosuppression in gastrointestinal cancers. Front. Oncol. 2022, 12, 1093496.","{""author"": ""C. Rajesh; P. Radhakrishnan"", ""journalName"": ""Front. Oncol."", ""year"": 2022}"
289,"Mullins, R.F.; Hageman, G.S. Human ocular drusen possess novel core domains with a distinct carbohydrate composition. J. Histochem. Cytochem. 1999, 47, 1533–1540.","{""author"": ""R.F. Mullins; G.S. Hageman"", ""journalName"": ""J. Histochem. Cytochem."", ""year"": 1999}"
290,"Smith, B.A.H.; Bertozzi, C.R. The clinical impact of glycobiology: Targeting selectins, Siglecs and mammalian glycans. Nat. Rev. Drug Discov. 2021, 20, 217–243.","{""author"": ""B.A.H. Smith; C.R. Bertozzi"", ""journalName"": ""Nat. Rev. Drug Discov."", ""year"": 2021}"
291,"Duan, S.; Paulson, J.C. Siglecs as Immune Cell Checkpoints in Disease. Annu. Rev. Immunol. 2020, 38, 365–395.","{""author"": ""S. Duan; J.C. Paulson"", ""journalName"": ""Annu. Rev. Immunol."", ""year"": 2020}"
292,"Halawa, O.A.; Lin, J.B.; Miller, J.W.; Vavvas, D.G. A Review of Completed and Ongoing Complement Inhibitor Trials for Geographic Atrophy Secondary to Age-Related Macular Degeneration. J. Clin. Med. 2021, 10, 2580.","{""author"": ""O.A. Halawa; J.B. Lin; J.W. Miller; D.G. Vavvas"", ""journalName"": ""J. Clin. Med."", ""year"": 2021}"
293,"Lin, J.B.; Halawa, O.A.; Miller, J.W.; Vavvas, D.G. Complement Inhibition for Geographic Atrophy: A Tempting Target with Mixed Results. J. Clin. Med. 2021, 10, 2890","{""author"": ""J.B. Lin; O.A. Halawa; J.W. Miller; D.G. Vavvas"", ""journalName"": ""J. Clin. Med."", ""year"": 2021}"
294,"Johnson, L.V.; Leitner, W.P.; Staples, M.K.; Anderson, D.H. Complement activation and inflammatory processes in Drusen formation and age related macular degeneration. Exp. Eye Res. 2001, 73, 887–896.","{""author"": ""L.V. Johnson; W.P. Leitner; M.K. Staples; D.H. Anderson"", ""journalName"": ""Exp. Eye Res."", ""year"": 2001}"
295,"Crabb, J.W.; Miyagi, M.; Gu, X.; Shadrach, K.; West, K.A.; Sakaguchi, H.; Kamei, M.; Hasan, A.; Yan, L.; Rayborn, M.E.; et al. Drusen proteome analysis: An approach to the etiology of age-related macular degeneration. Proc. Natl. Acad. Sci. USA 2002, 99, 14682–14687.","{""author"": ""J.W. Crabb; M. Miyagi; X. Gu; K. Shadrach; K.A. West; H. Sakaguchi; M. Kamei; A. Hasan; L. Yan; M.E. Rayborn; et al."", ""journalName"": ""Proc. Natl. Acad. Sci. USA"", ""year"": 2002}"
296,"Mullins, R.F.; Russell, S.R.; Anderson, D.H.; Hageman, G.S. Drusen associated with aging and age-related macular degeneration contain proteins common to extracellular deposits associated with atherosclerosis, elastosis, amyloidosis, and dense deposit disease. FASEB J. 2000, 14, 835–846.","{""author"": ""R.F. Mullins; S.R. Russell; D.H. Anderson; G.S. Hageman"", ""journalName"": ""FASEB J."", ""year"": 2000}"
297,"Lin, J.B.; Serghiou, S.; Miller, J.W.; Vavvas, D.G. Systemic Complement Activation Profiles in Nonexudative Age-Related Macular Degeneration: A Meta-Analysis. J. Clin. Med. 2022, 11, 2371.","{""author"": ""J.B. Lin; S. Serghiou; J.W. Miller; D.G. Vavvas"", ""journalName"": ""J. Clin. Med."", ""year"": 2022}"
298,"Heier, J.S.; Lad, E.M.; Holz, F.G.; Rosenfeld, P.J.; Guymer, R.H.; Boyer, D.; Grossi, F.; Baumal, C.R.; Korobelnik, J.F.; Slakter, J.S.; et al. Pegcetacoplan for the treatment of geographic atrophy secondary to age-related macular degeneration (OAKS and DERBY): Two multicentre, randomised, double-masked, sham-controlled, phase 3 trials. Lancet 2023, 402, 1434–1448.","{""author"": ""J.S. Heier; E.M. Lad; F.G. Holz; P.J. Rosenfeld; R.H. Guymer; D. Boyer; F. Grossi; C.R. Baumal; J.F. Korobelnik; J.S. Slakter; et al."", ""journalName"": ""Lancet"", ""year"": 2023}"
299,"Khanani, A.M.; Patel, S.S.; Staurenghi, G.; Tadayoni, R.; Danzig, C.J.; Eichenbaum, D.A.; Hsu, J.; Wykoff, C.C.; Heier, J.S.; Lally, D.R.; et al. Efficacy and safety of avacincaptad pegol in patients with geographic atrophy (GATHER2): 12-month results from a randomised, double-masked, phase 3 trial. Lancet 2023, 402, 1449–1458.","{""author"": ""A.M. Khanani; S.S. Patel; G. Staurenghi; R. Tadayoni; C.J. Danzig; D.A. Eichenbaum; J. Hsu; C.C. Wykoff; J.S. Heier; D.R. Lally; et al."", ""journalName"": ""Lancet"", ""year"": 2023}"
300,"Ho, J.; Witkin, A.J.; Liu, J.; Chen, Y.; Fujimoto, J.G.; Schuman, J.S.; Duker, J.S. Documentation of intraretinal retinal pigment epithelium migration via high-speed ultrahigh-resolution optical coherence tomography. Ophthalmology 2011, 118, 687–693.","{""author"": ""J. Ho; A.J. Witkin; J. Liu; Y. Chen; J.G. Fujimoto; J.S. Schuman; J.S. Duker"", ""journalName"": ""Ophthalmology"", ""year"": 2011}"
301,"Wang, S.; Wang, X.; Cheng, Y.; Ouyang, W.; Sang, X.; Liu, J.; Su, Y.; Liu, Y.; Li, C.; Yang, L.; et al. Autophagy Dysfunction, Cellular Senescence, and Abnormal Immune-Inflammatory Responses in AMD: From Mechanisms to Therapeutic Potential. Oxid. Med. Cell Longev. 2019, 2019, 3632169.","{""author"": ""S. Wang; X. Wang; Y. Cheng; W. Ouyang; X. Sang; J. Liu; Y. Su; Y. Liu; C. Li; L. Yang; et al."", ""journalName"": ""Oxid. Med. Cell Longev."", ""year"": 2019}"
302,"Xu, H.; Chen, M.; Forrester, J.V. Para-inflammation in the aging retina. Prog. Retin. Eye Res. 2009, 28, 348–368.","{""author"": ""H. Xu; M. Chen; J.V. Forrester"", ""journalName"": ""Prog. Retin. Eye Res."", ""year"": 2009}"
303,"Langmann, T. Microglia activation in retinal degeneration. J. Leukoc. Biol. 2007, 81, 1345–1351","{""author"": ""T. Langmann"", ""journalName"": ""J. Leukoc. Biol."", ""year"": 2007}"
304,"Damani, M.R.; Zhao, L.; Fontainhas, A.M.; Amaral, J.; Fariss, R.N.; Wong, W.T. Age-related alterations in the dynamic behavior of microglia. Aging Cell 2011, 10, 263–276.","{""author"": ""M.R. Damani; L. Zhao; A.M. Fontainhas; J. Amaral; R.N. Fariss; W.T. Wong"", ""journalName"": ""Aging Cell"", ""year"": 2011}"
305,"Nimmerjahn, A.; Kirchhoff, F.; Helmchen, F. Resting microglial cells are highly dynamic surveillants of brain parenchyma in vivo. Science 2005, 308, 1314–1318.","{""author"": ""A. Nimmerjahn; F. Kirchhoff; F. Helmchen"", ""journalName"": ""Science"", ""year"": 2005}"
306,"Coscas, G.; De Benedetto, U.; Coscas, F.; Li Calzi, C.I.; Vismara, S.; Roudot-Thoraval, F.; Bandello, F.; Souied, E. Hyperreflective dots: A new spectral-domain optical coherence tomography entity for follow-up and prognosis in exudative age-related macular degeneration. Ophthalmologica 2013, 229, 32–37.","{""author"": ""G. Coscas; U. De Benedetto; F. Coscas; C.I. Li Calzi; S. Vismara; F. Roudot-Thoraval; F. Bandello; E. Souied"", ""journalName"": ""Ophthalmologica"", ""year"": 2013}"
307,"Vujosevic, S.; Bini, S.; Midena, G.; Berton, M.; Pilotto, E.; Midena, E. Hyperreflective intraretinal spots in diabetics without and with nonproliferative diabetic retinopathy: An in vivo study using spectral domain OCT. J. Diabetes Res. 2013, 2013, 491835.","{""author"": ""S. Vujosevic; S. Bini; G. Midena; M. Berton; E. Pilotto; E. Midena"", ""journalName"": ""J. Diabetes Res."", ""year"": 2013}"
308,"Killingsworth, M.C.; Sarks, J.P.; Sarks, S.H. Macrophages related to Bruch’s membrane in age-related macular degeneration. Eye 1990, 4 (Pt 4), 613–621.","{""author"": ""M.C. Killingsworth; J.P. Sarks; S.H. Sarks"", ""journalName"": ""Eye"", ""year"": 1990}"
309,"Penfold, P.L.; Killingsworth, M.C.; Sarks, S.H. Senile macular degeneration: The involvement of immunocompetent cells. Graefes Arch. Clin. Exp. Ophthalmol. 1985, 223, 69–76.","{""author"": ""P.L. Penfold; M.C. Killingsworth; S.H. Sarks"", ""journalName"": ""Graefes Arch. Clin. Exp. Ophthalmol."", ""year"": 1985}"
310,"Cherepanoff, S.; McMenamin, P.; Gillies, M.C.; Kettle, E.; Sarks, S.H. Bruch’s membrane and choroidal macrophages in early and advanced age-related macular degeneration. Br. J. Ophthalmol. 2010, 94, 918–925.","{""author"": ""S. Cherepanoff; P. McMenamin; M.C. Gillies; E. Kettle; S.H. Sarks"", ""journalName"": ""Br. J. Ophthalmol."", ""year"": 2010}"
311,"Karlen, S.J.; Miller, E.B.; Wang, X.; Levine, E.S.; Zawadzki, R.J.; Burns, M.E. Monocyte infiltration rather than microglia proliferation dominates the early immune response to rapid photoreceptor degeneration. J. Neuroinflammation 2018, 15, 344.","{""author"": ""S.J. Karlen; E.B. Miller; X. Wang; E.S. Levine; R.J. Zawadzki; M.E. Burns"", ""journalName"": ""J. Neuroinflammation"", ""year"": 2018}"
312,"Klaus, C.; Liao, H.; Allendorf, D.H.; Brown, G.C.; Neumann, H. Sialylation acts as a checkpoint for innate immune responses in the central nervous system. Glia 2021, 69, 1619–1636.","{""author"": ""C. Klaus; H. Liao; D.H. Allendorf; G.C. Brown; H. Neumann"", ""journalName"": ""Glia"", ""year"": 2021}"
313,"El Khoury, J.; Toft, M.; Hickman, S.E.; Means, T.K.; Terada, K.; Geula, C.; Luster, A.D. Ccr2 deficiency impairs microglial accumulation and accelerates progression of Alzheimer-like disease. Nat. Med. 2007, 13, 432–438","{""author"": ""J. El Khoury; M. Toft; S.E. Hickman; T.K. Means; K. Terada; C. Geula; A.D. Luster"", ""journalName"": ""Nat. Med."", ""year"": 2007}"
314,"Ransohoff, R.M.; El Khoury, J. Microglia in Health and Disease. Cold. Spring Harb. Perspect. Biol. 2015, 8, a020560.","{""author"": ""R.M. Ransohoff; J. El Khoury"", ""journalName"": ""Cold. Spring Harb. Perspect. Biol."", ""year"": 2015}"
315,"Roche, S.L.; Wyse-Jackson, A.C.; Ruiz-Lopez, A.M.; Byrne, A.M.; Cotter, T.G. Fractalkine-CX3CR1 signaling is critical for progesterone-mediated neuroprotection in the retina. Sci. Rep. 2017, 7, 43067","{""author"": ""S.L. Roche; A.C. Wyse-Jackson; A.M. Ruiz-Lopez; A.M. Byrne; T.G. Cotter"", ""journalName"": ""Sci. Rep."", ""year"": 2017}"
316,"Marneros, A.G. Role of inflammasome activation in neovascular age-related macular degeneration. FEBS J. 2023, 290, 28–36.","{""author"": ""A.G. Marneros"", ""journalName"": ""FEBS J."", ""year"": 2023}"
317,"Fletcher, A.E.; Bentham, G.C.; Agnew, M.; Young, I.S.; Augood, C.; Chakravarthy, U.; de Jong, P.T.; Rahu, M.; Seland, J.; Soubrane, G.; et al. Sunlight exposure, antioxidants, and age-related macular degeneration. Arch. Ophthalmol. 2008, 126, 1396 1403.","{""author"": ""A.E. Fletcher; G.C. Bentham; M. Agnew; I.S. Young; C. Augood; U. Chakravarthy; P.T. de Jong; M. Rahu; J. Seland; G. Soubrane; et al."", ""journalName"": ""Arch. Ophthalmol."", ""year"": 2008}"
318,"Miralles de Imperial-Ollero, J.A.; Gallego-Ortega, A.; Ortin-Martinez, A.; Villegas-Perez, M.P.; Valiente-Soriano, F.J.; Vidal-Sanz, M. Animal Models of LED-Induced Phototoxicity. Short- and Long-Term In Vivo and Ex Vivo Retinal Alterations. Life 2021, 11, 1137","{""author"": ""J.A. Miralles de Imperial-Ollero; A. Gallego-Ortega; A. Ortin-Martinez; M.P. Villegas-Perez; F.J. Valiente-Soriano; M. Vidal-Sanz"", ""journalName"": ""Life"", ""year"": 2021}"
319,"Busch, C.J.; Binder, C.J. Malondialdehyde epitopes as mediators of sterile inflammation. Biochim. Biophys. Acta Mol. Cell Biol. Lipids 2017, 1862, 398–406.","{""author"": ""C.J. Busch; C.J. Binder"", ""journalName"": ""Biochim. Biophys. Acta Mol. Cell Biol. Lipids"", ""year"": 2017}"
320,"Ye, F.; Kaneko, H.; Hayashi, Y.; Takayama, K.; Hwang, S.J.; Nishizawa, Y.; Kimoto, R.; Nagasaka, Y.; Tsunekawa, T.; Matsuura, T.; et al. Malondialdehyde induces autophagy dysfunction and VEGF secretion in the retinal pigment epithelium in age-related macular degeneration. Free Radic. Biol. Med. 2016, 94, 121–134.","{""author"": ""F. Ye; H. Kaneko; Y. Hayashi; K. Takayama; S.J. Hwang; Y. Nishizawa; R. Kimoto; Y. Nagasaka; T. Tsunekawa; T. Matsuura; et al."", ""journalName"": ""Free Radic. Biol. Med."", ""year"": 2016}"
321,"Hollyfield, J.G.; Bonilha, V.L.; Rayborn, M.E.; Yang, X.; Shadrach, K.G.; Lu, L.; Ufret, R.L.; Salomon, R.G.; Perez, V.L. Oxidative damage-induced inflammation initiates age-related macular degeneration. Nat. Med. 2008, 14, 194–198.","{""author"": ""J.G. Hollyfield; V.L. Bonilha; M.E. Rayborn; X. Yang; K.G. Shadrach; L. Lu; R.L. Ufret; R.G. Salomon; V.L. Perez"", ""journalName"": ""Nat. Med."", ""year"": 2008}"
322,"Hollyfield, J.G.; Perez, V.L.; Salomon, R.G. A hapten generated from an oxidation fragment of docosahexaenoic acid is sufficient to initiate age-related macular degeneration. Mol. Neurobiol. 2010, 41, 290–298.","{""author"": ""J.G. Hollyfield; V.L. Perez; R.G. Salomon"", ""journalName"": ""Mol. Neurobiol."", ""year"": 2010}"
323,"Suzuki, M.; Tsujikawa, M.; Itabe, H.; Du, Z.J.; Xie, P.; Matsumura, N.; Fu, X.; Zhang, R.; Sonoda, K.H.; Egashira, K.; et al. Chronic photo-oxidative stress and subsequent MCP-1 activation as causative factors for age-related macular degeneration. J. Cell Sci. 2012, 125, 2407–2415.","{""author"": ""M. Suzuki; M. Tsujikawa; H. Itabe; Z.J. Du; P. Xie; N. Matsumura; X. Fu; R. Zhang; K.H. Sonoda; K. Egashira; et al."", ""journalName"": ""J. Cell Sci."", ""year"": 2012}"
324,"Bearelly, S.; Khanifar, A.A.; Lederer, D.E.; Lee, J.J.; Ghodasra, J.H.; Stinnett, S.S.; Cousins, S.W. Use of fundus autofluorescence images to predict geographic atrophy progression. Retina 2011, 31, 81–86","{""author"": ""S. Bearelly; A.A. Khanifar; D.E. Lederer; J.J. Lee; J.H. Ghodasra; S.S. Stinnett; S.W. Cousins"", ""journalName"": ""Retina"", ""year"": 2011}"
325,"Su, N.; Hansen, U.; Plagemann, T.; Gaher, K.; Leclaire, M.D.; Konig, J.; Hohn, A.; Grune, T.; Uhlig, C.E.; Eter, N.; et al. Sub Retinal Injection of Human Lipofuscin in the Mouse—A Model of “Dry” Age-Related Macular Degeneration? Aging Dis. 2023, 14, 184–203.","{""author"": ""N. Su; U. Hansen; T. Plagemann; K. Gaher; M.D. Leclaire; J. Konig; A. Hohn; T. Grune; C.E. Uhlig; N. Eter; et al."", ""journalName"": ""Aging Dis."", ""year"": 2023}"
